"constant_Tau","Tau","n","M","q","Rel_Bias_MLE_woUDSA","ESE_MLE_woUDSA","ASE_MLE_woUDSA","CP_MLE_woUDSA","Rel_Bias_BCMLE_woUDSA","ESE_BCMLE_woUDSA","ASE_BCMLE_woUDSA","CP_BCMLE_woUDSA","Rel_Bias_MLE_wUDSA","ESE_MLE_wUDSA","ASE_MLE_wUDSA","CP_MLE_wUDSA","Rel_Bias_BCMLE_wUDSA","ESE_BCMLE_wUDSA","ASE_BCMLE_wUDSA","CP_BCMLE_wUDSA"
TRUE,0.5,12,32,1,0.011113971651463,0.147330375069795,0.142902790948469,0.957,-0.0100314459535096,0.14325540270015,0.142902790948469,0.683,0.00918247002233895,0.12684141300733,0.126880992047061,0.962,-0.00592128567603592,0.124750887931845,0.126880992047061,0.969
FALSE,0.5,18,12,0.5,0.0629305003122896,0.254027229036468,0.240182513984045,0.946,-0.00067172671451617,0.232305937589773,0.240182513984045,0.748,0.0777028723558738,0.234437730591685,0.229357521312493,0.949,-0.0501879198574978,0.218851364891733,0.229357521312493,0.979
TRUE,0.5,18,12,0.5,0.0912004265067602,0.248811297470607,0.244397106756853,0.942,0.0258366815366405,0.228008687049201,0.244397106756853,0.785,0.104540301019133,0.229891053349759,0.232687511243701,0.948,-0.0254704444555236,0.216343348568583,0.232687511243701,0.975
FALSE,0.5,18,12,0.75,0.0545421898234647,0.242804746478989,0.238514440533534,0.956,-0.00777496624164015,0.223657885809811,0.238514440533534,0.759,0.0571771324964157,0.218439958756453,0.219365935287311,0.961,-0.0186479874127722,0.206749217354606,0.219365935287311,0.984
TRUE,0.5,18,12,0.75,0.102451471063589,0.266299433329912,0.246213605078154,0.936,0.0351034818120691,0.241166290019087,0.246213605078154,0.791,0.0927158941807591,0.224383293828182,0.223185726161393,0.943,0.0161457776764375,0.213008442527044,0.223185726161393,0.972
FALSE,0.5,18,12,1,0.0606510361082662,0.243946119975973,0.239504962558123,0.95,-0.0022103149708306,0.224275489106097,0.239504962558123,0.768,0.0450986145492236,0.209773899568849,0.21054933188148,0.97,-0.000368596200538939,0.200347522527555,0.21054933188148,0.972
TRUE,0.5,18,12,1,0.0612530377874795,0.259080811767151,0.239578939909047,0.94,-0.00239572678299815,0.23717728383556,0.239578939909047,0.771,0.0329244928601832,0.213213176955507,0.208815707416685,0.965,-0.0118227814012819,0.203723183622767,0.208815707416685,0.966
FALSE,0.5,18,24,0.5,0.0399612321400264,0.165145744627456,0.167888689453563,0.949,0.0105537082211838,0.159006100538582,0.167888689453563,0.776,0.0367607314696164,0.154870957624823,0.157852669090146,0.947,-0.0149097003912655,0.151002016470797,0.157852669090146,0.975
TRUE,0.5,18,24,0.5,0.0262974237798758,0.173201412397967,0.1663579537791,0.939,-0.00272670686034129,0.166785513692068,0.1663579537791,0.728,0.0355032266163446,0.161711751538326,0.157448897324798,0.95,-0.0155917511549936,0.157928019288652,0.157448897324798,0.969
FALSE,0.5,18,24,0.75,0.035957207481925,0.168914863532914,0.167450231507759,0.936,0.00664210249163238,0.162610810241197,0.167450231507759,0.743,0.0356930391705237,0.149715187530638,0.152697574717514,0.954,0.00418853766212878,0.145925500531539,0.152697574717514,0.965
TRUE,0.5,18,24,0.75,0.0330796126955767,0.165802075616138,0.167162373880877,0.947,0.00390642934990349,0.159641093308019,0.167162373880877,0.761,0.0324425763275134,0.148495467619486,0.152232783382197,0.958,0.00146579733129541,0.144894584873759,0.152232783382197,0.964
FALSE,0.5,18,24,1,0.017743290590557,0.159794687848578,0.165543106130588,0.952,-0.0108119483131956,0.153964822724947,0.165543106130588,0.771,0.00642838465692598,0.137178661387187,0.146199374200201,0.982,-0.0140010295270262,0.134229993005146,0.146199374200201,0.982
TRUE,0.5,18,24,1,0.0153124113644698,0.165881366601262,0.16522765938377,0.944,-0.0132264582423126,0.15985527493524,0.16522765938377,0.748,0.0176587564437368,0.146021839005703,0.146595507119333,0.972,-0.00280152839595051,0.14294314317471,0.146595507119333,0.972
FALSE,0.5,18,32,0.5,0.0248965655047212,0.15295882867501,0.144127914471839,0.943,0.00334267270885436,0.148694966297083,0.144127914471839,0.684,0.029015602051397,0.143326682253757,0.135855624937873,0.945,-0.00667976471465114,0.140220764628837,0.135855624937873,0.961
